Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,Title
0,3,0,22.0,1,0,7.25,2.0,2,2
1,1,1,38.0,1,0,71.2833,0.0,2,3
1,3,1,26.0,0,0,7.925,2.0,1,1
1,1,1,35.0,1,0,53.1,2.0,2,3
0,3,0,35.0,0,0,8.05,2.0,1,2
0,3,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,8.4583,1.0,1,2
0,1,0,54.0,0,0,51.8625,2.0,1,2
0,3,0,2.0,3,1,21.075,2.0,5,0
1,3,1,27.0,0,2,11.1333,2.0,3,3
1,2,1,14.0,1,0,30.0708,0.0,2,3
1,3,1,4.0,1,1,16.7,2.0,3,1
1,1,1,58.0,0,0,26.55,2.0,1,1
0,3,0,20.0,0,0,8.05,2.0,1,2
0,3,0,39.0,1,5,31.275,2.0,7,2
0,3,1,14.0,0,0,7.8542,2.0,1,1
1,2,1,55.0,0,0,16.0,2.0,1,3
0,3,0,2.0,4,1,29.125,1.0,6,0
1,2,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,13.0,2.0,1,2
0,3,1,31.0,1,0,18.0,2.0,2,3
1,3,1,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,7.225,0.0,1,3
0,2,0,35.0,0,0,26.0,2.0,1,2
1,2,0,34.0,0,0,13.0,2.0,1,2
1,3,1,15.0,0,0,8.0292,1.0,1,1
1,1,0,28.0,0,0,35.5,2.0,1,2
0,3,1,8.0,3,1,21.075,2.0,5,1
1,3,1,38.0,1,5,31.3875,2.0,7,3
0,3,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,7.225,0.0,1,2
0,1,0,19.0,3,2,263.0,2.0,6,2
1,3,1,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,7.8792,1.0,1,1
0,3,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,7.8958,2.0,1,2
0,1,0,40.0,0,0,27.7208,0.0,1,4
1,1,1,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",1,0,146.5208,0.0,2,3
1,3,1,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,7.75,1.0,1,1
0,2,0,66.0,0,0,10.5,2.0,1,2
0,1,0,28.0,1,0,82.1708,0.0,2,2
0,1,0,42.0,1,0,52.0,2.0,2,2
1,3,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,7.2292,0.0,1,2
0,3,0,21.0,0,0,8.05,2.0,1,2
0,3,1,18.0,2,0,18.0,2.0,3,1
1,3,1,14.0,1,0,11.2417,0.0,2,1
0,3,1,40.0,1,0,9.475,2.0,2,3
0,2,1,27.0,1,0,21.0,2.0,2,3
0,3,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,7.8958,0.0,1,2
1,2,1,3.0,1,2,41.5792,0.0,4,1
1,3,1,19.0,0,0,7.8792,1.0,1,1
0,3,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,8.05,2.0,1,2
0,3,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",1,0,15.5,1.0,2,2
1,3,1,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,7.75,1.0,1,1
0,3,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",2,0,21.6792,0.0,3,2
0,3,1,18.0,1,0,17.8,2.0,2,3
0,3,0,7.0,4,1,39.6875,2.0,6,0
0,3,0,21.0,0,0,7.8,2.0,1,2
1,1,1,49.0,1,0,76.7292,0.0,2,3
1,2,1,29.0,1,0,26.0,2.0,2,3
0,1,0,65.0,0,1,61.9792,0.0,2,2
1,1,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,35.5,2.0,1,2
1,2,1,21.0,0,0,10.5,2.0,1,1
0,3,0,28.5,0,0,7.2292,0.0,1,2
1,2,1,5.0,1,2,27.75,2.0,4,1
0,3,0,11.0,5,2,46.9,2.0,8,0
0,3,0,22.0,0,0,7.2292,0.0,1,2
1,1,1,38.0,0,0,80.0,2.0,1,1
0,1,0,45.0,1,0,83.475,2.0,2,2
0,3,0,4.0,3,2,27.9,2.0,6,0
0,1,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,27.7208,0.0,1,2
1,3,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",1,1,15.2458,0.0,3,0
1,2,1,29.0,0,0,10.5,2.0,1,3
0,3,0,19.0,0,0,8.1583,2.0,1,2
1,3,1,17.0,4,2,7.925,2.0,7,1
0,3,0,26.0,2,0,8.6625,2.0,3,2
0,2,0,32.0,0,0,10.5,2.0,1,2
0,3,1,16.0,5,2,46.9,2.0,8,1
0,2,0,21.0,0,0,73.5,2.0,1,2
0,3,0,26.0,1,0,14.4542,0.0,2,2
1,3,0,32.0,0,0,56.4958,2.0,1,2
0,3,0,25.0,0,0,7.65,2.0,1,2
0,3,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,7.8958,2.0,1,2
0,3,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,8.05,2.0,1,2
1,2,0,0.83,0,2,29.0,2.0,3,0
1,3,1,30.0,0,0,12.475,2.0,1,1
0,3,0,22.0,0,0,9.0,2.0,1,2
1,3,0,29.0,0,0,9.5,2.0,1,2
1,3,1,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,7.7875,1.0,1,1
0,1,0,28.0,0,0,47.1,2.0,1,2
1,2,1,17.0,0,0,10.5,2.0,1,1
1,3,1,33.0,3,0,15.85,2.0,4,3
0,3,0,16.0,1,3,34.375,2.0,5,2
0,3,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,8.05,2.0,1,2
1,1,1,23.0,3,2,263.0,2.0,6,1
0,3,0,24.0,0,0,8.05,2.0,1,2
0,3,0,29.0,0,0,8.05,2.0,1,2
0,3,0,20.0,0,0,7.8542,2.0,1,2
0,1,0,46.0,1,0,61.175,2.0,2,2
0,3,0,26.0,1,2,20.575,2.0,4,2
0,3,0,59.0,0,0,7.25,2.0,1,2
0,3,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,8.05,2.0,1,2
0,1,0,71.0,0,0,34.6542,0.0,1,2
1,1,0,23.0,0,1,63.3583,0.0,2,2
1,2,1,34.0,0,1,23.0,2.0,2,3
0,2,0,34.0,1,0,26.0,2.0,2,2
0,3,1,28.0,0,0,7.8958,2.0,1,1
0,3,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,7.8958,2.0,1,2
0,1,0,21.0,0,1,77.2875,2.0,2,2
0,3,0,33.0,0,0,8.6542,2.0,1,2
0,3,0,37.0,2,0,7.925,2.0,3,2
0,3,0,28.0,0,0,7.8958,2.0,1,2
1,3,1,21.0,0,0,7.65,2.0,1,1
1,3,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,7.775,2.0,1,2
0,3,0,38.0,0,0,7.8958,2.0,1,2
1,3,1,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",1,0,24.15,1.0,2,1
0,1,0,47.0,0,0,52.0,2.0,1,2
0,3,1,14.5,1,0,14.4542,0.0,2,1
0,3,0,22.0,0,0,8.05,2.0,1,2
0,3,1,20.0,1,0,9.825,2.0,2,1
0,3,1,17.0,0,0,14.4583,0.0,1,1
0,3,0,21.0,0,0,7.925,2.0,1,2
0,3,0,70.5,0,0,7.75,1.0,1,2
0,2,0,29.0,1,0,21.0,2.0,2,2
0,1,0,24.0,0,1,247.5208,0.0,2,2
0,3,1,2.0,4,2,31.275,2.0,7,1
0,2,0,21.0,2,0,73.5,2.0,3,2
0,3,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,8.05,2.0,1,2
0,2,0,32.5,1,0,30.0708,0.0,2,2
1,2,1,32.5,0,0,13.0,2.0,1,1
0,1,0,54.0,0,1,77.2875,2.0,2,2
1,3,0,12.0,1,0,11.2417,0.0,2,0
0,3,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,7.75,1.0,1,2
1,3,0,24.0,0,0,7.1417,2.0,1,2
1,3,1,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",1,1,22.3583,0.0,3,1
0,3,0,45.0,0,0,6.975,2.0,1,2
0,3,0,33.0,0,0,7.8958,0.0,1,2
0,3,0,20.0,0,0,7.05,2.0,1,2
0,3,1,47.0,1,0,14.5,2.0,2,3
1,2,1,29.0,1,0,26.0,2.0,2,3
0,2,0,25.0,0,0,13.0,2.0,1,2
0,2,0,23.0,0,0,15.0458,0.0,1,2
1,1,1,19.0,0,2,26.2833,2.0,3,1
0,1,0,37.0,1,0,53.1,2.0,2,2
0,3,0,16.0,0,0,9.2167,2.0,1,2
0,1,0,24.0,0,0,79.2,0.0,1,2
0,3,1,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,2,15.2458,0.0,3,3
1,3,1,22.0,0,0,7.75,2.0,1,1
1,3,1,24.0,1,0,15.85,2.0,2,3
0,3,0,19.0,0,0,6.75,1.0,1,2
0,2,0,18.0,0,0,11.5,2.0,1,2
0,2,0,19.0,1,1,36.75,2.0,3,2
1,3,0,27.0,0,0,7.7958,2.0,1,2
0,3,1,9.0,2,2,34.375,2.0,5,1
0,2,0,36.5,0,2,26.0,2.0,3,2
0,2,0,42.0,0,0,13.0,2.0,1,4
0,2,0,51.0,0,0,12.525,2.0,1,4
1,1,1,22.0,1,0,66.6,2.0,2,3
0,3,0,55.5,0,0,8.05,2.0,1,2
0,3,0,40.5,0,2,14.5,2.0,3,2
0,3,0,"<bound method Series.median of 0      22.0
1      38.0
2      26.0
3      35.0
4      35.0
       ... 
151    22.0
152    55.5
153    40.5
154     NaN
155    51.0
Name: Age, Length: 156, dtype: float64>",0,0,7.3125,2.0,1,2
0,1,0,51.0,0,1,61.3792,0.0,2,2
